# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -7657 8 33 53 3807283 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/selector.cdff25b189c9.js
DUPTYPE_WITHIN_SAME_TREE -7657 8 33 53 3801345 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/selector.js
DUPTYPE_WITHIN_SAME_TREE -7657 9 33 53 3807978 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/selector.cdff25b189c9.js
DUPTYPE_WITHIN_SAME_TREE -7657 5 33 53 3809208 5 /openedx/staticfiles/studio/js/bower/jquery/src/selector.cdff25b189c9.js
DUPTYPE_FIRST_OCCURRENCE 3247 2 34 53 2497751 5 /openedx/staticfiles/teams/templates/date.1f2e2cd443bd.underscore
DUPTYPE_WITHIN_SAME_TREE -3247 2 34 53 2494743 5 /openedx/staticfiles/teams/templates/date.underscore
DUPTYPE_FIRST_OCCURRENCE 6235 3 34 53 3810075 5 /openedx/staticfiles/studio/templates/mock/mock-modal.e0cf2a1313f3.underscore
DUPTYPE_WITHIN_SAME_TREE -6235 3 34 53 3803469 5 /openedx/staticfiles/studio/templates/mock/mock-modal.underscore
DUPTYPE_FIRST_OCCURRENCE 5199 3 35 53 2629488 5 /openedx/staticfiles/paragon/src/CssJail/CssJail.61082a78db7f.scss
DUPTYPE_WITHIN_SAME_TREE -5199 3 35 53 2622282 5 /openedx/staticfiles/paragon/src/CssJail/CssJail.scss
DUPTYPE_WITHIN_SAME_TREE -5199 6 35 53 2622606 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/CssJail/CssJail.scss
DUPTYPE_WITHIN_SAME_TREE -5199 6 35 53 2623600 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/CssJail/CssJail.scss
DUPTYPE_WITHIN_SAME_TREE -5199 6 35 53 2628654 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/CssJail/CssJail.61082a78db7f.scss
DUPTYPE_WITHIN_SAME_TREE -5199 6 35 53 2628532 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/CssJail/CssJail.61082a78db7f.scss
DUPTYPE_FIRST_OCCURRENCE 10011 5 36 53 3675764 5 /openedx/staticfiles/js/bower/jquery/src/var/arr.73fe8cc31324.js
DUPTYPE_WITHIN_SAME_TREE -10011 9 36 53 3807234 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/var/arr.73fe8cc31324.js
DUPTYPE_WITHIN_SAME_TREE -10011 10 36 53 3807880 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/arr.73fe8cc31324.js
DUPTYPE_WITHIN_SAME_TREE -10011 5 36 53 3675263 5 /openedx/staticfiles/js/bower/jquery/src/var/arr.js
DUPTYPE_WITHIN_SAME_TREE -10011 6 36 53 3808940 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/arr.73fe8cc31324.js
DUPTYPE_WITHIN_SAME_TREE -10011 6 36 53 3804215 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/arr.js
DUPTYPE_WITHIN_SAME_TREE -10011 9 36 53 3801428 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/var/arr.js
DUPTYPE_WITHIN_SAME_TREE -10011 10 36 53 3804826 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/arr.js
